Alpha,Discount,Epsilon,Avg Guesses
0.3,0.8,0.4,4.546
0.2,0.5,0.4,4.554
0.3,0.9,0.2,4.563
0.1,0.9,0.2,4.58
0.4,0.7,0.1,4.581
0.3,0.7,0.4,4.583
0.3,0.8,0.3,4.584
0.2,0.7,0.2,4.593
0.2,0.8,0.1,4.595
0.2,0.8,0.3,4.596
0.1,0.8,0.3,4.596
0.1,0.5,0.3,4.598
0.1,0.7,0.4,4.608
0.4,0.8,0.3,4.608
0.4,0.7,0.3,4.609
0.4,0.5,0.2,4.611
0.1,0.7,0.3,4.612
0.3,0.8,0.2,4.613
0.1,0.5,0.2,4.617
0.3,0.5,0.3,4.618
0.3,0.7,0.2,4.62
0.4,0.7,0.2,4.622
0.1,0.5,0.4,4.625
0.3,0.7,0.3,4.628
0.2,0.9,0.3,4.628
0.3,0.5,0.1,4.629
0.1,0.9,0.1,4.631
0.2,0.8,0.4,4.633
0.1,0.9,0.4,4.633
0.3,0.5,0.4,4.636
0.1,0.5,0.1,4.636
0.3,0.9,0.3,4.642
0.3,0.5,0.2,4.644
0.1,0.8,0.1,4.644
0.4,0.7,0.4,4.648
0.2,0.5,0.2,4.65
0.2,0.5,0.1,4.658
0.4,0.8,0.2,4.659
0.1,0.7,0.2,4.663
0.4,0.9,0.3,4.664
0.4,0.5,0.3,4.664
0.1,0.8,0.4,4.665
0.1,0.9,0.3,4.669
0.3,0.7,0.1,4.671
0.2,0.7,0.3,4.673
0.2,0.7,0.4,4.674
0.3,0.9,0.4,4.674
0.2,0.5,0.3,4.677
0.1,0.7,0.1,4.682
0.1,0.8,0.2,4.684
0.2,0.9,0.4,4.69
0.4,0.8,0.1,4.693
0.4,0.9,0.2,4.7
0.4,0.9,0.1,4.702
0.2,0.7,0.1,4.71
0.3,0.9,0.1,4.718
0.2,0.8,0.2,4.721
0.2,0.9,0.1,4.733
0.4,0.5,0.1,4.76
0.3,0.8,0.1,4.786
0.4,0.9,0.4,4.813
0.2,0.9,0.2,4.852
0.4,0.8,0.4,5.119
0.4,0.5,0.4,5.182
